"ttkVertexScalarField","CriticalType","Coordinates:0","Coordinates:1","Coordinates:2","Points:0","Points:1","Points:2"
220045,2,4,15,46,0.4067,0.40671,0
219229,1,16,3,46,0.4067,0.4067,0
219297,2,15,4,46,0.4067,0.40671,0
464757,1,42,42,97,0.4067,0.4067,0
464621,2,44,40,97,0.4067,0.40671,0
483190,1,52,33,101,0.4067,0.4067,0
483258,2,51,34,101,0.4067,0.40673,0
484482,1,33,52,101,0.4067,0.4067,0
474755,2,35,49,99,0.4067,0.40671,0
464690,1,44,41,97,0.4067,0.4067,0
464758,2,43,42,97,0.4067,0.4067,0
464894,1,41,44,97,0.4067,0.4067,0
464826,2,42,43,97,0.4067,0.4067,0
283840,1,43,42,59,0.4067,0.4067,0
283704,2,45,40,59,0.4067,0.40673,0
283908,1,42,43,59,0.4067,0.4067,0
283839,2,42,42,59,0.4067,0.40672,0
29265,1,9,10,6,0.4067,0.4067,0
489,2,6,7,0,0.4067,0.40697,0
29197,1,10,9,6,0.4067,0.4067,0
29196,2,9,9,6,0.4067,0.4069,0
244595,1,59,25,51,0.40671,0.40671,0
239766,2,60,24,50,0.40671,0.40672,0
246907,1,25,59,51,0.40671,0.40671,0
246839,2,26,58,51,0.40671,0.40674,0
278738,1,47,37,58,0.40671,0.40671,0
278806,2,46,38,58,0.40671,0.40674,0
279418,1,37,47,58,0.40671,0.40671,0
279350,2,38,46,58,0.40671,0.40674,0
273841,1,49,35,57,0.40671,0.40671,0
269012,2,50,34,56,0.40671,0.40674,0
274793,1,35,49,57,0.40671,0.40671,0
274725,2,36,48,57,0.40671,0.40674,0
283703,1,44,40,59,0.40671,0.40671,0
283771,2,43,41,59,0.40671,0.40672,0
283975,1,40,44,59,0.40671,0.40671,0
283907,2,41,43,59,0.40671,0.40672,0
259287,1,54,31,54,0.40671,0.40671,0
254389,2,55,29,53,0.40671,0.40673,0
260851,1,31,54,54,0.40671,0.40671,0
260919,2,30,55,54,0.40671,0.40674,0
24776,1,5,14,5,0.40673,0.40673,0
24844,2,4,15,5,0.40673,0.40691,0
24164,1,14,5,5,0.40673,0.40673,0
24163,2,13,5,5,0.40673,0.40695,0
29400,1,6,12,6,0.40674,0.40674,0
29264,2,8,10,6,0.40674,0.40688,0
28992,1,12,6,6,0.40674,0.40674,0
29128,2,10,8,6,0.40674,0.40688,0
10898,1,65,19,2,0.40674,0.40674,0
10830,2,66,18,2,0.40674,0.40691,0
544130,1,65,19,114,0.40674,0.40674,0
544199,2,65,20,114,0.40674,0.40692,0
547258,1,19,65,114,0.40674,0.40674,0
532771,2,22,62,111,0.40674,0.4068,0
20151,1,3,16,4,0.40675,0.40675,0
20219,2,2,17,4,0.40675,0.40695,0
19267,1,16,3,4,0.40675,0.40675,0
24096,2,15,4,5,0.40675,0.40691,0
9541,1,19,0,2,0.40675,0.40675,0
14369,2,17,1,3,0.40675,0.40686,0
29333,1,8,11,6,0.40675,0.40675,0
29401,2,7,12,6,0.40675,0.40685,0
29129,1,11,8,6,0.40675,0.40675,0
29061,2,12,7,6,0.40675,0.40685,0
23752,1,16,68,4,0.40678,0.40678,0
4502,2,17,65,0,0.40678,0.40686,0
542771,1,17,0,114,0.407,0.407,0
543034,2,4,4,114,0.407,0.48031,0
4740,1,48,68,0,0.40983,0.40983,0
4410,2,63,63,0,0.40983,0.55652,0
106212,1,21,21,22,0.41011,0.41011,0
72325,2,13,13,15,0.41011,0.41253,0
77086,1,13,13,16,0.41249,0.41249,0
77087,2,14,13,16,0.41249,0.41252,0
77154,1,12,14,16,0.41251,0.41251,0
77155,2,13,14,16,0.41251,0.41252,0
72258,1,15,12,15,0.41252,0.41252,0
